model,layer,input_rms,affine_rms,shifted_rms,output_rms,output_std,output_absmax,rms_gain_vs_input
warm_prereadout_cap10_lam1,sine.2,0.4509693682193756,0.11978212743997574,0.18498225510120392,0.48908349871635437,0.4850446879863739,0.9999997615814209,1.084516007478446
warm_prereadout_cap10_lam1,sine.3,0.48908349871635437,0.14484156668186188,0.20537234842777252,0.6217136979103088,0.619782567024231,1.0,1.2711810959520304
warm_prereadout_cap10_lam1,sine.4,0.6217136979103088,0.16371017694473267,0.21063990890979767,0.7738794684410095,0.7732622027397156,0.9999999403953552,1.2447521601054587
warm_prereadout_cap10_lam1,sine.5,0.7738794684410095,0.063883937895298,0.16564583778381348,0.7334458827972412,0.7333778142929077,0.9999997019767761,0.9477520889328899
warm_prereadout_cap10_lam1,readout,0.7334458827972412,0.9536997675895691,,0.9536997675895691,0.014250296168029308,0.9795080423355103,1.300300117511487
warm_readout_counter1_lam1e-2,sine.0,0.5728219747543335,0.23368607461452484,0.280197411775589,0.6999586820602417,0.6993648409843445,0.9999996423721313,1.2219480273263494
warm_readout_counter1_lam1e-2,sine.1,0.6999586820602417,0.12432655692100525,0.18842363357543945,0.44745445251464844,0.446683406829834,0.9999992251396179,0.6392583790769216
warm_readout_counter1_lam1e-2,sine.2,0.44745445251464844,0.12282596528530121,0.1870996505022049,0.4576164484024048,0.4554792642593384,0.9999992847442627,1.0227106822396044
warm_readout_counter1_lam1e-2,sine.3,0.4576164484024048,0.12995994091033936,0.19789856672286987,0.5974177122116089,0.5970205664634705,1.0,1.305498773694144
warm_readout_counter1_lam1e-2,sine.4,0.5974177122116089,0.1681310087442398,0.21490241587162018,0.7010831832885742,0.7008739709854126,1.0,1.1735225939204266
warm_readout_counter1_lam1e-2,sine.5,0.7010831832885742,0.22127005457878113,0.2625221312046051,0.8497229814529419,0.8495886921882629,1.0,1.212014496578198
warm_readout_counter1_lam1e-2,readout,0.8497229814529419,0.9634360074996948,,0.9634360074996948,0.007582136895507574,0.9854174256324768,1.1338236443273724
warm_prereadout_counter1_lam1e-2,sine.0,0.5728219747543335,0.2336815744638443,0.280205637216568,0.6999962329864502,0.6994065046310425,1.0,1.2220135815960238
warm_prereadout_counter1_lam1e-2,sine.1,0.6999962329864502,0.12493574619293213,0.18903319537639618,0.44934070110321045,0.4484994411468506,0.9999839663505554,0.6419187417425836
warm_prereadout_counter1_lam1e-2,sine.2,0.44934070110321045,0.12252507358789444,0.18721121549606323,0.45439812541007996,0.45403385162353516,0.9999999403953552,1.0112552107887236
warm_prereadout_counter1_lam1e-2,sine.3,0.45439812541007996,0.1298181414604187,0.19655846059322357,0.5723395943641663,0.5720679759979248,0.9999994039535522,1.2595553598458353
warm_prereadout_counter1_lam1e-2,sine.4,0.5723395943641663,0.17334508895874023,0.21599410474300385,0.6878409385681152,0.6868696212768555,1.0,1.2018056156542232
warm_prereadout_counter1_lam1e-2,sine.5,0.6878409385681152,0.11011683940887451,0.18666452169418335,0.7365712523460388,0.7359791994094849,1.0,1.0708453234542363
warm_prereadout_counter1_lam1e-2,readout,0.7365712523460388,0.06368009746074677,,0.06368009746074677,0.010703887790441513,0.08441554754972458,0.08645476898252616
